execution_count,companyId,companyName,month
38,2254,ESCUELA DE FOTOGRAFOS,2025-04
94,1053,EclipSoft,2025-04
6179,2110,Ecugenius S.A.,2025-04
15030,28,El Rosado,2025-04
11,1160,Expand,2025-04
171,1951,FPV Seguros,2025-04
188,121,Facephi<>Peigo,2025-04
1680,2032,Figueroa Merchan Jose Luis,2025-04
206,1758,Finanza AI,2025-04
31317,1937,Flexi,2025-04
164392,124,GEA Ecuador,2025-04
24,148,Generali,2025-04
622,2095,Gigmax,2025-04
323,2100,Holaenfermera-Ec S.A.S.,2025-04
2763,1925,INDI BCP,2025-04
16,368,Innovat Latam.,2025-04
229,2139,Intervalores,2025-04
788,1955,Italika,2025-04
948,1957,Jelou Banking,2025-04
637,135,Jelou Dev,2025-04
750,1944,Jelou Marketplace,2025-04
12081,361,Jelou Pay,2025-04
1068,331,Jelou Producto,2025-04
69,2033,Jelou Revenue,2025-04
1040,322,Jelou Shop,2025-04
1,1044,Jelou Ventas,2025-04
50,288,Junta de Beneficencia,2025-04
188,2025,KIVETI S.A.,2025-04
103,1266,Katherine del Carmen Ovando,2025-04
978,1718,Kaufmann,2025-04
14,997,La Finestra SAS,2025-04
12,1988,La casa de los abuelos,2025-04
2513,935,Lavca,2025-04
560,965,Livansud,2025-04
5,2053,Lopez Lopez Jaime Fernando,2025-04
4,1640,Lotería Costa Rica,2025-04
2870,2125,Lotería Nacional EC,2025-04
6,1798,Luz Verde Cobranza,2025-04
1848,258,Luzverde,2025-04
122,2044,M&C Travel S.A,2025-04
8050,404,MONGO'S,2025-04
4059,745,Mail Boxes Etc,2025-04
9,940,Mardis,2025-04
3472,1950,Marriott,2025-04
52217,405,Massline,2025-04
921,1648,Medexcard,2025-04
199,2181,Mindmatter Academy,2025-04
130,2043,Morphosis,2025-04
1,967,N5,2025-04
23,2019,NATURALESMEJOR S.A.,2025-04
1388,1482,Naturisa,2025-04
1328406,147,Netlife,2025-04
4,2223,Netlife - Ecuanet Telemarketing,2025-04
10,2260,ORIGAMI ECUADOR,2025-04
368,1962,Ondu Cloud,2025-04
1753,1480,Oriental,2025-04
217,2176,PROALCONSULTING,2025-04
25013,337,Piloto Creditia,2025-04
15,1379,Pocket Tienda Prototipo,2025-04
1,1547,PopCornComunication,2025-04
4,2017,Punta Azul,2025-04
197101,54,Pycca,2025-04
198,1903,Rabbit,2025-04
500,2239,Racevents,2025-04
1413,1633,SaludSA,2025-04
367499,123,Security Data,2025-04
284,1845,Seguros Confianza,2025-04
87,358,Seguros Liberty,2025-04
30,452,Seguros Pacífico,2025-04
793,1984,Semvra,2025-04
5082,1,Shippify,2025-04
1278,1566,Siigo,2025-04
79,1811,Sistecrédito,2025-04
50572,1761,Solca,2025-04
7,1865,Start Co,2025-04
472,1641,Supreme Ventures,2025-04
10,2242,TIA Shopper,2025-04
382,1384,Talento Humano,2025-04
12,382,Team APPS,2025-04
32761,1844,Tienda Branchos,2025-04
113,1946,Total Education Program,2025-04
5903,183,Tracklink,2025-04
1942,1880,TransSky,2025-04
336,1953,TuSupperAhorro,2025-04
9081,823,Tuenti POC,2025-04
12730,1890,Tuenti Vendedores,2025-04
449,2205,Universidad Insurgente,2025-04
65,807,Universidad de las Artes,2025-04
